Origin,Destination,Equipment Type,Weight,Rate,Trip Distance,Company,Contact Info,Load Requirements,Pickup Date,Delivery Date,Load Type,Age Posted,Extracted At
"Ukiah, CAArvada, CO","Arvada, CO",V,44k lbs,–,48 ft,Dsv Road Inc,(803) 650-3100,N/A,N/A,N/A,N/A,3m,2025-07-16T08:04:58.845Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:05:00.991Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:05:03.151Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:05:05.287Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:05:07.433Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:05:09.591Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:05:11.727Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:05:13.972Z
"Ukiah, CAArvada, CO","Arvada, CO",V,44k lbs,–,48 ft,Dsv Road Inc,(803) 650-3100,N/A,N/A,N/A,N/A,3m,2025-07-16T08:05:16.236Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:05:18.373Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:05:20.510Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:05:22.755Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:05:24.927Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:05:27.051Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:05:29.192Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:05:31.328Z
"Ukiah, CAArvada, CO","Arvada, CO",V,44k lbs,–,48 ft,Dsv Road Inc,(803) 650-3100,N/A,N/A,N/A,N/A,3m,2025-07-16T08:05:33.539Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:05:35.704Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:05:37.831Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:05:39.971Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:05:42.111Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:05:44.270Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:05:46.411Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:05:48.552Z
"Ukiah, CAArvada, CO","Arvada, CO",V,44k lbs,–,48 ft,Dsv Road Inc,(803) 650-3100,N/A,N/A,N/A,N/A,4m,2025-07-16T08:05:50.731Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:05:52.888Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:05:55.034Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:05:57.196Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:05:59.370Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:06:01.534Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:06:03.719Z
N/A,N/A,N/A,N/A,N/A,N/A,N/A,(803) 650-3100,N/A,N/A,N/A,N/A,N/A,2025-07-16T08:06:05.909Z
"Ukiah, CAArvada, CO","Arvada, CO",V,44k lbs,–,48 ft,Dsv Road Inc,(803) 650-3100,N/A,N/A,N/A,N/A,4m,2025-07-16T08:06:08.215Z
