reference_number,origin,destination,rate_total_usd,rate_per_mile,company,contact,age_posted,extracted_at
AUTO_Q2FZDHJV,"Castroville, CADenver, CO","Denver, CO",3800,3,Armstrong Transport Group Inc,(224) 529-0290,2h,2025-08-18T06:39:30.580Z
AUTO_TWFUDGVJ,"Manteca, CAAurora, CO","Aurora, CO",3600,3,Circle Logistics Inc,(260) 296-6329,2h,2025-08-18T06:39:36.460Z
AUTO_U2FSAW5H,"Salinas, CADenver, CO","Denver, CO",,,Rwi Logistics Llc,(859) 905-2970,6h,2025-08-18T06:39:40.088Z
AUTO_V2LSBGLH,"Williams, CAAurora, CO","Aurora, CO",3500,3,Prosponsive Logistics,(800) 533-3922,14h,2025-08-18T06:39:44.936Z
AUTO_U2FUDGEG,"Santa Rosa, CAHenderson, CO","Henderson, CO",,,Companion Logistics Corporation,(608) 574-3171,14h,2025-08-18T06:39:46.889Z
AUTO_U2FJCMFT,"Sacramento, CADenver, CO","Denver, CO",,,Covar Transportation,(480) 908-4654,15h,2025-08-18T06:39:48.859Z
AUTO_RNJLC25V,"Fresno, CADenver, CO","Denver, CO",,,Uber Freight LLC,(628) 236-8343,2h,2025-08-18T06:39:50.864Z
AUTO_R29UEMFS,"Gonzales, CADenver, CO","Denver, CO",4400,4,Armstrong Transport Group Inc,(224) 529-0290,2h,2025-08-18T06:39:53.125Z
AUTO_Q2HPY28S,"Chico, CAAurora, CO","Aurora, CO",3140,3,HUB Group Inc - Pittsburgh,(410) 673-1240,2h,2025-08-18T06:39:58.698Z
AUTO_U2FSAW5H,"Salinas, CAN Platte, NE","N Platte, NE",4150,4,RWB Trucking LLC,(630) 225-7631,12h,2025-08-18T06:40:03.691Z
AUTO_QMFRZXJZ,"Bakersfield, CABroomfield, CO","Broomfield, CO",,,Scotlynn Transport LLC/Scotlynn Commodities Inc,(239) 210-3000,14h,2025-08-18T06:40:05.769Z
